AZ87/2029ODP677A    8.54   0.2020   UVIG         3.97
A 88/ 632ODP677A    8.74   0.2070   UVIGORID     3.96
A 88/ 633ODP677A    8.84   0.2090   UVIGORID     3.70
AZ87/2028ODP677A    9.05   0.2140   UVIG         3.97
A 87/2027ODP677A    9.15   0.2160   UVIGORID     4.01
AZ87/2026ODP677A    9.36   0.2200   UVIG         4.67
AZ87/2025ODP677A    9.50   0.2230   UVIG         4.55
AZ87/2024ODP677A    9.68   0.2270   UVIG         4.69
AZ87/2023ODP677A   10.00   0.2340   UVIG         4.22
A 87/2022ODP677A   10.15   0.2370   UVIGORID     3.87
AZ87/2019ODP677A   10.30   0.2410   UVIG         4.18
AZ87/2018ODP677A   10.45   0.2450   UVIG         4.71
AZ87/2017ODP677A   10.54   0.2470   UVIG         4.63
AZ87/2016ODP677A   10.64   0.2500   UVIG         4.92
AZ87/2015ODP677A   10.74   0.2520   UVIG         4.81
AZ87/2013ODP677A   10.84   0.2550   HELEGANS     4.77
AZ87/2014ODP677A   10.84   0.2550   UVIG         4.69
AZ87/2011ODP677A   10.94   0.2580   UVIG         4.91
AZ87/2010ODP677A   11.03   0.2600   UVIG         4.78
AZ87/2009ODP677A   11.17   0.2640   UVIG         4.74
AZ87/2008ODP677A   11.25   0.2660   UVIG         4.70
AZ87/2007ODP677A   11.35   0.2680   UVIG         5.08
AZ87/2006ODP677A   11.54   0.2730   UVIG         4.64
AZ87/2005ODP677A   11.74   0.2790   UVIG         4.50
A 87/2004ODP677A   11.84   0.2810   UVIGORID     4.07
A 87/2002ODP677A   12.02   0.2860   UVIGORID     3.83
A 87/2003ODP677A   12.02   0.2860   UVIGORID     4.10
AZ87/2001ODP677A   12.14   0.2900   UVIG         4.26
AZ87/1997ODP677A   12.24   0.2930   UVIG         4.39
A 87/1996ODP677A   12.36   0.2970   UVIGORID     4.52
AZ87/1995ODP677A   12.42   0.2980   UVIG         4.50
AZ87/1994ODP677A   12.54   0.3020   UVIG         4.30
AZ87/1993ODP677A   12.65   0.3050   UVIG         4.32
AZ87/1992ODP677A   12.74   0.3070   UVIG         4.12
AZ87/1991ODP677A   12.85   0.3100   UVIG         4.41
AZ87/1970ODP677A   12.93   0.3120   UVIG         4.08
AZ87/1969ODP677A   13.04   0.3150   UVIG         3.81
AZ87/1968ODP677A   13.14   0.3180   UVIG         4.07
AZ87/1966ODP677A   13.24   0.3210   ORID         3.78
AZ87/1967ODP677A   13.24   0.3210   PWUELL       3.60
AZ87/1965ODP677A   13.34   0.3240   HELEGANS     3.73
AZ87/1964ODP677A   13.45   0.3270   ORID         3.25
AZ87/1963ODP677A   13.54   0.3290   HELEGANS     3.69
AZ87/1961ODP677A   13.64   0.3310   HELEGANS     3.49
A 87/1962ODP677A   13.64   0.3310   UVIGORID     3.51
AZ87/1960ODP677A   13.74   0.3330   UVIG         3.81
AZ87/1959ODP677A   13.84   0.3350   UVIG         4.42
AZ87/1958ODP677A   13.94   0.3370   UVIG         4.78
AZ87/1957ODP677A   14.04   0.3390   UVIG         5.27
AZ87/1956ODP677A   14.17   0.3430   UVIG         5.12
AZ87/1955ODP677A   14.26   0.3450   UVIG         5.06
AZ87/1954ODP677A   14.35   0.3480   UVIG         4.68
AZ87/1953ODP677A   14.43   0.3500   UVIG         4.80
AZ87/1952ODP677A   14.55   0.3540   UVIG         4.87
AY88/ 634ODP677B   14.60   0.3550   UVIGORID     4.88
AY88/ 635ODP677B   14.70   0.3580   UVIGORID     4.65
A 87/1940ODP677A   14.77   0.3600   UVIGORID     4.80
AY88/ 636ODP677B   14.80   0.3610   UVIG         4.61
AZ87/1939ODP677A   14.85   0.3620   ORID         4.71
AY88/ 637ODP677B   14.90   0.3640   UVIG         4.56
AZ87/1938ODP677A   14.95   0.3650   UVIG         4.53
AY88/ 638ODP677B   15.00   0.3670   UVIG         4.54
A 87/1937ODP677A   15.05   0.3680   UVIGORID     4.62
AY88/ 639ODP677B   15.10   0.3690   UVIG         4.59
AZ87/1936ODP677A   15.14   0.3710   UVIG         4.64
AY88/ 640ODP677B   15.20   0.3720   UVIG         4.59
AZ87/1935ODP677A   15.25   0.3740   UVIG         4.37
AY88/ 641ODP677B   15.30   0.3750   UVIG         4.45
AZ87/1934ODP677A   15.35   0.3770   UVIG         4.56
AY88/ 642ODP677B   15.40   0.3780   UVIG         4.47
AY88/ 643ODP677B   15.50   0.3810   UVIG         4.41
AZ87/1932ODP677A   15.55   0.3820   UVIG         4.12
AY88/ 644ODP677B   15.60   0.3840   UVIG         4.29
AZ87/1931ODP677A   15.67   0.3860   UVIG         4.33
AY88/ 645ODP677B   15.70   0.3870   UVIG         4.20
AZ87/1911ODP677A   15.75   0.3880   UVIG         4.27
AY88/ 646ODP677B   15.78   0.3890   UVIGORID     4.01
AZ87/1912ODP677A   15.85   0.3910   UVIG         3.88
AY88/ 647ODP677B   15.90   0.3920   UVIG         3.79
AZ87/1913ODP677A   15.93   0.3930   UVIG         3.85
AY88/ 648ODP677B   16.00   0.3950   UVIG         4.01
AY88/ 649ODP677B   16.08   0.3980   UVIG         3.61
AZ87/1915ODP677A   16.14   0.3990   UVIG         3.71
AZ87/1916ODP677A   16.24   0.4020   UVIG         3.49
AZ87/1918ODP677A   16.45   0.4070   UVIG         3.50
AZ87/1919ODP677A   16.54   0.4090   UVIG         3.39
AZ87/1920ODP677A   16.64   0.4120   HELEGANS     3.77
AZ87/1880ODP677A   16.74   0.4140   UVIG         4.01
AZ87/1877ODP677A   16.84   0.4160   UVIG         4.08
AZ87/1878ODP677A   16.84   0.4160   ORID         4.54
AZ87/1879ODP677A   16.84   0.4160   HELEGANS     4.61
AZ87/1875ODP677A   16.93   0.4180   ORID         4.55
AZ87/1876ODP677A   16.93   0.4180   HELEGANS     4.72
AZ87/1873ODP677A   17.03   0.4200   UVIG         5.14
AZ87/1874ODP677A   17.03   0.4200   ORID         4.83
AZ87/15110DP677A   17.35   0.4270   UVIG         4.30
AZ87/1512ODP677A   17.55   0.4320   PWUELL       4.58
AZ87/1513ODP677A   17.65   0.4340   PWUELL       4.62
AZ87/1515ODP677A   17.75   0.4370   ORID         4.65
AZ87/1516ODP677A   17.85   0.4390   UVIG         4.70
AZ87/1517ODP677A   17.92   0.4410   UVIG         4.63
AZ87/1518ODP677A   18.05   0.4440   UVIG         4.66
AZ87/1519ODP677A   18.15   0.4470   PWUELL       4.51
AZ87/1520ODP677A   18.15   0.4470   ORID         4.27
AZ87/1521ODP677A   18.30   0.4500   UVIG         4.63
AZ87/1523ODP677A   18.41   0.4530   UVIG         4.65
AZ87/1524ODP677A   18.41   0.4530   ORID         4.51
AZ87/1525ODP677A   18.45   0.4540   PWUELL       4.41
AZ87/1527ODP677A   18.55   0.4570   PWUELL       4.51
AZ87/1528ODP677A   18.65   0.4590   ORID         4.41
AZ87/1529ODP677A   18.75   0.4630   PWUELL       4.40
AZ87/1530ODP677A   18.85   0.4660   PWUELL       4.27
AZ87/1532ODP677A   18.95   0.4700   HELEGANS     4.11
AZ87/1533ODP677A   18.95   0.4700   ORID         4.03
A 87/1534ODP677A   19.05   0.4740   UVIGORID     4.03
AZ87/1535ODP677A   19.15   0.4770   ORID         3.89
AZ87/1536ODP677A   19.25   0.4810   UVIG         3.76
AZ87/1538ODP677A   19.50   0.4890   UVIG         3.89
A 87/1539ODP677A   19.65   0.4940   UVIGORID     3.89
A 87/1540ODP677A   19.73   0.4970   UVIGORID     3.76
AZ87/1541ODP677A   19.85   0.5010   PWUELL       3.78
AZ87/1542ODP677A   19.90   0.5020   UVIG         3.94
AZ87/1543ODP677A   19.95   0.5030   ORID         3.95
A 87/1871ODP677A   20.15   0.5070   UVIGORID     4.14
AZ87/1872ODP677A   20.15   0.5070   HELEGANS     4.22
AZ87/1546ODP677A   20.25   0.5090   UVIG         4.23
AZ87/1547ODP677A   20.35   0.5120   UVIG         4.23
AZ87/1548ODP677A   20.45   0.5140   UVIG         4.33
AZ87/1549ODP677A   20.55   0.5170   UVIG         4.14
AZ87/1550ODP677A   20.65   0.5190   UVIG         4.22
AZ87/1551ODP677A   20.75   0.5210   UVIG         4.03
AZ87/1552ODP677A   20.84   0.5240   ORID         3.82
AZ87/1553ODP677A   20.90   0.5250   UVIG         4.13
AZ87/1554ODP677A   20.90   0.5250   PWUELL       4.00
