543ODP677AODP 677 Planktonic O-18
Size fraction: medium
ODP 677A 1 deg 12.138' N 83 deg 44' W water depth 3472.3 m
ODP 677B 1 deg 13.006' N 83 deg 43.392' W water depth 3446.8 m
see also proc ODP sci res, vol 111, p227 ff
ages are by astronomical correlation.
Agemodel for 677 27.04.89
format(A16,f8.2,f9.4,A12,f8.2)
sample ID, depth age, species planktonic 18O
A 88/ 836ODP677A    5.60   0.1070   GRUBER C    -1.81
A 89/2433ODP677B    5.60   0.1070   GRUBER C    -1.73
A 87/1275ODP677A    5.70   0.1100   GRUBER C    -2.01
A 87/1341ODP677A    5.70   0.1100   GRUBER C    -2.00
A 88/ 835ODP677A    5.70   0.1100   GRUBER C    -1.86
A 89/2434ODP677B    5.70   0.1100   GRUBER C    -1.44
A 88/ 834ODP677A    5.80   0.1130   GRUBER C    -1.77
A 89/2435ODP677B    5.80   0.1130   GRUBER C    -1.81
A 88/ 833ODP677A    5.90   0.1160   GRUBER C    -1.89
A 89/2436ODP677B    5.90   0.1160   GRUBER C    -1.83
A 88/ 832ODP677A    6.00   0.1190   GRUBER C    -2.11
A 89/2437ODP677B    6.00   0.1190   GRUBER C    -1.73
A 88/ 831ODP677A    6.10   0.1220   GRUBER C    -2.18
A 89/2438ODP677B    6.10   0.1220   GRUBER C    -2.50
A 89/2439ODP677B    6.20   0.1250   GRUBER C    -1.70
A 88/ 721ODP677B    6.28   0.1280   GRUBER C    -1.34
A 88/ 722ODP677B    6.40   0.1320   GRUBER C    -0.51
A 88/ 723ODP677B    6.50   0.1360   GRUBER C    -0.53
A 88/ 724ODP677B    6.60   0.1390   GRUBER C    -0.57
A 88/ 725ODP677B    6.70   0.1430   GRUBER C    -0.57
A 88/ 726ODP677B    6.80   0.1460   GRUBER C    -0.56
A 88/ 727ODP677B    6.90   0.1500   GRUBER C    -0.65
A 88/ 728ODP677B    7.00   0.1530   GRUBER C    -0.78
A 88/ 729ODP677B    7.10   0.1570   GRUBER C    -0.95
A 88/ 730ODP677B    7.20   0.1600   GRUBER C    -0.95
A 88/ 771ODP677B    7.30   0.1640   GRUBER C    -0.57
A 88/ 772ODP677B    7.40   0.1670   GRUBER C    -0.87
A 88/ 773ODP677B    7.50   0.1710   GRUBER C    -0.60
A 88/ 774ODP677B    7.60   0.1740   GRUBER C    -0.71
A 88/ 775ODP677B    7.70   0.1780   GRUBER C    -0.60
A 88/ 776ODP677B    7.78   0.1800   GRUBER C    -0.69
A 88/ 777ODP677B    7.90   0.1850   GRUBER C    -0.79
A 88/ 861ODP677A    7.93   0.1860   GRUBER C    -0.84
A 88/ 778ODP677B    8.00   0.1880   GRUBER C    -0.75
A 88/ 862ODP677A    8.05   0.1900   GRUBER C    -0.86
A 88/ 779ODP677B    8.10   0.1920   GRUBER C    -1.14
A 88/ 863ODP677A    8.17   0.1940   GRUBER C    -1.81
A 88/ 864ODP677A    8.43   0.2000   GRUBER C    -1.64
A 87/1271ODP677A    8.54   0.2020   GRUBER C    -1.81
A 88/ 865ODP677A    8.54   0.2020   GRUBER C    -1.71
A 87/1272ODP677A    8.74   0.2070   GRUBER C    -1.50
A 88/ 866ODP677A    8.74   0.2070   GRUBER C    -1.47
A 87/1331ODP677A    8.84   0.2090   GRUBER C    -1.61
A 88/ 867ODP677A    8.84   0.2090   GRUBER C    -1.59
A 87/1328ODP677A    8.95   0.2120   GRUBER C    -1.60
A 87/1279ODP677A    9.05   0.2140   GRUBER C    -2.08
A 87/1330ODP677A    9.15   0.2160   GRUBER C    -1.38
A 87/1315ODP677A    9.26   0.2180   GRUBER C    -1.19
A 87/1313ODP677A    9.36   0.2200   GRUBER C    -1.15
A 87/1312ODP677A    9.45   0.2220   GRUBER C    -1.16
A 87/1311ODP677A    9.55   0.2240   GRUBER C    -1.04
A 87/1332ODP677A    9.68   0.2270   GRUBER C    -0.90
A 87/1335ODP677A   10.15   0.2370   GRUBER C    -1.71
A 87/1336ODP677A   10.24   0.2390   GRUBER C    -1.62
A 87/1316ODP677A   10.34   0.2420   GRUBER C    -1.23
A 87/1317ODP677A   10.45   0.2450   GRUBER C    -0.69
A 87/1318ODP677A   10.54   0.2470   GRUBER C    -0.94
A 87/1319ODP677A   10.64   0.2500   GRUBER C    -0.81
A 87/1320ODP677A   10.74   0.2520   GRUBER C    -0.81
A 87/1339ODP677A   10.84   0.2550   GRUBER C    -0.81
A 87/1338ODP677A   10.94   0.2580   GRUBER C    -0.91
A 87/1337ODP677A   11.03   0.2600   GRUBER C    -0.99
A 87/1342ODP677A   11.17   0.2640   GRUBER C    -0.83
